Name,Type,Episode,Aired,Premiered,Producers,Studios,Source,Genre,Demographic,Theme,Duration,Rating,Score,Ranking,Popularity,Members
Kimetsu no Yaiba: Yuukaku-hen,TV,empty,"Dec 5, 2021 to Feb 13, 2022",Winter 2022,"None found, add some",ufotable,Manga,empty,ShounenShounen,empty,26 min. per ep.,8.90,179,"751,402","16,522"
Owarimonogatari 2nd Season,TV,empty,"Aug 12, 2017 to Aug 13, 2017",Summer 2017,"Aniplex,       Kodansha",Shaft,Light novel,empty,empty,VampireVampire,22 min. per ep.,8.90,536,"340,301","7,818"
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,empty,"Jul 9, 2018 to Oct 8, 2018",Summer 2018,"TV Tokyo,       Aniplex,       Dentsu,       Shueisha",Bandai Namco Pictures,Manga,empty,ShounenShounen,empty,24 min. per ep.,8.88,1193,"158,053",940
Kimi no Na wa.,Movie,empty,"Aug 26, 2016",empty,"Toho,       Sound Team Don Juan,       Amuse,       JR East Marketing & Communications,       Kadokawa,       voque ting",CoMix Wave Films,Original,empty,empty,SchoolSchool,1 hr. 46 min.,8.87,10,"2,293,502","79,523"
Shingeki no Kyojin: The Final Season,TV,empty,"Dec 7, 2020 to Mar 29, 2021",Winter 2021,"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprise",MAPPA,Manga,empty,ShounenShounen,empty,23 min. per ep.,8.87,49,"1,512,065","49,819"
Monster,TV,empty,"Apr 7, 2004 to Sep 28, 2005",Spring 2004,"VAP,       Shogakukan-Shueisha Productions,       Nippon Television Network",Madhouse,Manga,empty,SeinenSeinen,PsychologicalPsychological,24 min. per ep.,8.82,157,"818,266","36,293"
Gintama.: Shirogane no Tamashii-hen,TV,empty,"Jan 8, 2018 to Mar 26, 2018",Winter 2018,"TV Tokyo,       Aniplex,       Dentsu,       Shueisha",Bandai Namco Pictures,Manga,empty,ShounenShounen,empty,24 min. per ep.,8.82,1091,"171,508","1,056"
Kizumonogatari III: Reiketsu-hen,Movie,empty,"Jan 6, 2017",empty,"Aniplex,       Kodansha",Shaft,Light novel,empty,empty,VampireVampire,1 hr. 23 min.,8.81,454,"392,377","6,456"
Mob Psycho 100 II,TV,empty,"Jan 7, 2019 to Apr 1, 2019",Winter 2019,"Warner Bros. Japan,       KlockWorx,       BS Fuji,       Hakuhodo DY Music & Pictures,       Shogakukan",Bones,Web manga,empty,empty,empty,24 min. per ep.,8.81,86,"1,190,257","27,485"
Shiguang Dailiren,ONA,empty,"Apr 30, 2021 to Jul 9, 2021",empty,"bilibili,       BeDream",Studio LAN,Original,empty,empty,empty,23 min. per ep.,8.81,1002,"189,383","6,116"
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,empty,"Oct 8, 2016 to Dec 10, 2016",Fall 2016,"Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha",Production I.G,Manga,empty,ShounenShounen,SchoolSchool,24 min. per ep.,8.80,113,"1,005,505","14,159"
Ousama Ranking,TV,empty,"Oct 15, 2021 to Mar 25, 2022",Fall 2021,"Aniplex,       Dentsu,       Fuji TV,       Kadokawa",Wit Studio,Web manga,empty,empty,empty,22 min. per ep.,8.79,574,"320,337","6,619"
Sen to Chihiro no Kamikakushi,Movie,empty,"Jul 20, 2001",empty,Toho,Studio Ghibli,Original,empty,empty,empty,2 hr. 4 min.,8.79,43,"1,570,198","27,567"
Monogatari Series: Second Season,TV,empty,"Jul 7, 2013 to Dec 29, 2013",Summer 2013,"Aniplex,       Kodansha,       Cyclone Graphics",Shaft,Light novel,empty,empty,VampireVampire,25 min. per ep.,8.78,269,"599,151","21,988"
Kingdom 3rd Season,TV,empty,"Apr 6, 2020 to Oct 17, 2021",Spring 2020,"NHK,       Shueisha","Pierrot Plus,       Studio Signpost",Manga,ActionAction,SeinenSeinen,empty,25 min. per ep.,8.78,2261,"64,102","1,179"
Cowboy Bebop,TV,empty,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Bandai Visual,Sunrise,Original,empty,empty,SpaceSpace,24 min. per ep.,8.76,42,"1,573,466","69,741"
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,empty,"Oct 4, 2021 to Dec 20, 2021",Fall 2021,"None found, add some",Studio Bind,Light novel,empty,empty,empty,23 min. per ep.,8.76,325,"533,454","12,867"
Odd Taxi,TV,empty,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,"Pony Canyon,       Pony Canyon Enterprise","OLM,       P.I.C.S.",Original,MysteryMystery,empty,empty,23 min. per ep.,8.76,685,"278,732","5,754"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,empty,"Jan 7, 2017 to Mar 25, 2017",Winter 2017,"Mainichi Broadcasting System,       Kodansha,       DAX Production,       King Records",Studio Deen,Manga,DramaDrama,JoseiJosei,HistoricalHistorical,24 min. per ep.,8.75,1140,"166,256","2,873"
Mushishi Zoku Shou 2nd Season,TV,empty,"Oct 19, 2014 to Dec 21, 2014",Fall 2014,"Aniplex,       Kodansha,       Delfi Sound",Artland,Manga,empty,SeinenSeinen,HistoricalHistorical,23 min. per ep.,8.74,817,"232,168","1,272"
Hajime no Ippo,TV,empty,"Oct 4, 2000 to Mar 27, 2002",Fall 2000,VAP,Madhouse,Manga,empty,ShounenShounen,empty,23 min. per ep.,8.74,372,"467,517","17,073"
Vinland Saga,TV,empty,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,"Production I.G,       Dentsu,       Kodansha,       Twin Engine",Wit Studio,Manga,empty,SeinenSeinen,HistoricalHistorical,24 min. per ep.,8.73,105,"1,048,994","30,572"
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,empty,"Aug 15, 2020",empty,"Aniplex,       Notes,       Kadokawa",ufotable,Visual novel,empty,empty,empty,2 hr. 2 min.,8.72,743,"259,943","6,426"
Ashita no Joe 2,TV,empty,"Oct 13, 1980 to Aug 31, 1981",Fall 1980,Annapuru,Tokyo Movie Shinsha,Manga,empty,ShounenShounen,empty,24 min. per ep.,8.71,2928,"40,182","2,007"
Mo Dao Zu Shi: Wanjie Pian,ONA,empty,"Aug 7, 2021 to Oct 16, 2021",empty,Tencent Penguin Pictures,B.CMAY PICTURES,Web novel,empty,empty,empty,24 min. per ep.,8.71,2540,"52,150","1,169"
Mushishi Zoku Shou,TV,empty,"Apr 5, 2014 to Jun 21, 2014",Spring 2014,"Aniplex,       Kodansha,       Delfi Sound",Artland,Manga,empty,SeinenSeinen,HistoricalHistorical,24 min. per ep.,8.71,718,"264,555","1,404"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,empty,"Feb 20, 1999 to Sep 22, 1999",empty,Aniplex,Studio Deen,Manga,empty,ShounenShounen,empty,30 min. per ep.,8.71,757,"253,586","5,830"
Code Geass: Hangyaku no Lelouch,TV,empty,"Oct 6, 2006 to Jul 29, 2007",Fall 2006,"Bandai Visual,       Mainichi Broadcasting System,       Bandai,       Sony Music Entertainment,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners",Sunrise,Original,empty,empty,empty,24 min. per ep.,8.70,17,"1,944,756","97,273"
Jujutsu Kaisen (TV),TV,empty,"Oct 3, 2020 to Mar 27, 2021",Fall 2020,"Mainichi Broadcasting System,       TOHO animation,       Shueisha,       dugout,       Sumzap",MAPPA,Manga,empty,ShounenShounen,empty,23 min. per ep.,8.70,32,"1,750,997","65,474"
86 Part 2,TV,empty,"Oct 3, 2021 to Mar 19, 2022",Fall 2021,"Aniplex,       Kadokawa,       Bandai Spirits",A-1 Pictures,Light novel,empty,empty,empty,23 min. per ep.,8.69,732,"260,721","5,910"
Great Teacher Onizuka,TV,empty,"Jun 30, 1999 to Sep 17, 2000",Summer 1999,"Aniplex,       Fuji TV",Studio Pierrot,Manga,empty,ShounenShounen,SchoolSchool,25 min. per ep.,8.69,211,"706,718","22,589"
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,empty,"Oct 16, 2020",empty,"Aniplex,       Shueisha",ufotable,Manga,SupernaturalSupernatural,ShounenShounen,empty,1 hr. 56 min.,8.68,101,"1,070,930","11,195"
Made in Abyss,TV,empty,"Jul 7, 2017 to Sep 29, 2017",Summer 2017,"Media Factory,       AT-X,       Takeshobo,       Sony Music Communications,       Kadokawa Media House,       Cygames,       Kanetsu Investment,       Global Solutions,       IRMA LA DOUCE",Kinema Citrus,Web manga,empty,empty,empty,25 min. per ep.,8.68,95,"1,101,533","35,957"
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,empty,"Jan 17, 2020",empty,IRMA LA DOUCE,Kinema Citrus,Web manga,empty,empty,empty,1 hr. 45 min.,8.68,595,"311,064","2,521"
Mononoke Hime,Movie,empty,"Jul 12, 1997",empty,"Tokuma Shoten,       Nippon Television Network",Studio Ghibli,Original,empty,empty,empty,2 hr. 13 min.,8.68,100,"1,069,768","18,205"
Mushishi,TV,empty,"Oct 23, 2005 to Jun 19, 2006",Fall 2005,"Avex Entertainment,       Marvelous,       SKY Perfect Well Think,       Delfi Sound",Artland,Manga,empty,SeinenSeinen,HistoricalHistorical,25 min. per ep.,8.67,199,"725,411","24,153"
Shigatsu wa Kimi no Uso,TV,empty,"Oct 10, 2014 to Mar 20, 2015",Fall 2014,"Aniplex,       Dentsu,       Kodansha,       Fuji TV,       Kyoraku Industrial Holdings",A-1 Pictures,Manga,empty,ShounenShounen,empty,22 min. per ep.,8.67,21,"1,883,435","77,309"
Violet Evergarden,TV,empty,"Jan 11, 2018 to Apr 5, 2018",Winter 2018,"Lantis,       Pony Canyon,       Rakuonsha,       ABC Animation",Kyoto Animation,Light novel,empty,empty,empty,24 min. per ep.,8.66,52,"1,456,713","49,148"
